Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,Money Lost,Non Defaulter,MoneyLOST,E
1,11.5,20.00%,0.007,9.2,0.993,0,0.0644
2,0.24,5.10%,0.0033,0.22776,0.9967,0,0.000751608
3,0.04,24.86%,0.0022,0.030056,0.9978,0,6.61232E-05
4,13.81,2.29%,0.0066,13.493751,0.9934,0,0.089058757
5,19.84,3.47%,0.002,19.151552,0.998,0,0.038303104
6,20.61,20.84%,0.0002,16.314876,0.9998,0,0.003262975
7,24.9,34.91%,0.0089,16.20741,0.9911,0,0.144245949
8,18.76,36.44%,0.0059,11.923856,0.9941,0,0.07035075
9,10.23,39.59%,0.0026,6.179943,0.9974,0,0.016067852
10,19.55,25.11%,0.0008,14.640995,0.9992,0,0.011712796
11,1.14,33.29%,0,0.760494,1,0,0
12,6.4,37.34%,0.0034,4.01024,0.9966,0,0.013634816
13,21.45,37.22%,0.0072,13.46631,0.9928,0,0.096957432
14,8.17,12.91%,0.005,7.115253,0.995,0,0.035576265
15,15.73,14.68%,0.0056,13.420836,0.9944,0,0.075156682
16,8.73,37.14%,0.0059,5.487678,0.9941,0,0.0323773
17,24.02,39.85%,0.0029,14.44803,0.9971,0,0.041899287
18,11.92,26.54%,0.0064,8.756432,0.9936,0,0.056041165
19,15.78,16.66%,0.0041,13.151052,0.9959,0,0.053919313
20,0.04,10.34%,0.0043,0.035864,0.9957,0,0.000154215
21,24.73,15.51%,0.0046,20.894377,0.9954,0,0.096114134
22,7.49,16.67%,0.0004,6.241417,0.9996,0,0.002496567
23,20.15,9.45%,0.0041,18.245825,0.9959,0,0.074807883
24,2.92,26.40%,0.0041,2.14912,0.9959,0,0.008811392
25,0.3,32.34%,0.0039,0.20298,0.9961,0,0.000791622
26,1.95,12.78%,0.0016,1.70079,0.9984,0,0.002721264
27,10.57,28.81%,0.0063,7.524783,0.9937,0,0.047406133
28,19.41,30.77%,0.0099,13.437543,0.9901,0,0.133031676
29,16.09,22.67%,0.0022,12.442397,0.9978,0,0.027373273
30,5.65,32.08%,0.0067,3.83748,0.9933,0,0.025711116
31,1.13,8.87%,0.0068,1.029769,0.9932,0,0.007002429
32,17.07,27.81%,0.0089,12.322833,0.9911,0,0.109673214
33,2.93,3.48%,0.0041,2.828036,0.9959,0,0.011594948
34,21.87,30.66%,0.0045,15.164658,0.9955,0,0.068240961
35,18.92,31.15%,0.0007,13.02642,0.9993,0,0.009118494
36,22.8,23.28%,0.0048,17.49216,0.9952,0,0.083962368
37,10.8,19.95%,0.0042,8.6454,0.9958,0,0.03631068
38,24.74,13.13%,0.0037,21.491638,0.9963,0,0.079519061
39,6.76,15.65%,0.0074,5.70206,0.9926,0,0.042195244
40,6.51,16.35%,0.0004,5.445615,0.9996,0,0.002178246
41,24.33,33.94%,0.0036,16.072398,0.9964,0,0.057860633
42,21.01,19.86%,0.0078,16.837414,0.9922,0,0.131331829
43,13.57,17.00%,0.0079,11.2631,0.9921,0,0.08897849
44,8.97,37.63%,0.0023,5.594589,0.9977,0,0.012867555
45,3.15,16.53%,0.003,2.629305,0.997,0,0.007887915
46,13.56,22.41%,0.0053,10.521204,0.9947,0,0.055762381
47,10.71,22.36%,0.0094,8.315244,0.9906,0,0.078163294
48,22.29,35.08%,0.0053,14.470668,0.9947,0,0.07669454
49,4.64,32.95%,0.0034,3.11112,0.9966,0,0.010577808
50,17.47,4.95%,0.0011,16.605235,0.9989,0,0.018265759
51,2.72,33.41%,0.0049,1.811248,0.9951,0,0.008875115
52,16.88,25.82%,0.0068,12.521584,0.9932,0,0.085146771
53,14.49,15.06%,0.0026,12.307806,0.9974,0,0.032000296
54,24.87,24.81%,0.0092,18.699753,0.9908,0,0.172037728
55,0.07,38.55%,0.0053,0.043015,0.9947,0,0.00022798
56,10.16,0.63%,0.0096,10.095992,0.9904,0,0.096921523
57,21.21,16.14%,0.0082,17.786706,0.9918,0,0.145850989
58,18.04,31.02%,0.0095,12.443992,0.9905,0,0.118217924
59,2.16,26.35%,0.0046,1.59084,0.9954,0,0.007317864
60,2.16,13.67%,0.0065,1.864728,0.9935,0,0.012120732
61,8.76,30.03%,0.0093,6.129372,0.9907,0,0.05700316
62,14.57,28.67%,0.005,10.392781,0.995,0,0.051963905
63,14.9,10.44%,0.0076,13.34444,0.9924,0,0.101417744
64,4.56,37.78%,0.0075,2.837232,0.9925,0,0.02127924
65,2.28,21.66%,0.0004,1.786152,0.9996,0,0.000714461
66,13.69,26.56%,0.0061,10.053936,0.9939,0,0.06132901
67,20.74,5.91%,0.0061,19.514266,0.9939,0,0.119037023
68,7.14,15.40%,0.0032,6.04044,0.9968,0,0.019329408
69,22.9,26.81%,0.0071,16.76051,0.9929,0,0.118999621
70,20.82,1.78%,0.005,20.449404,0.995,0,0.10224702
71,14.48,14.52%,0.0015,12.377504,0.9985,0,0.018566256
72,6.49,38.49%,0.0082,3.991999,0.9918,0,0.032734392
73,9.03,36.63%,0.0088,5.722311,0.9912,0,0.050356337
74,4.75,0.27%,0.01,4.737175,0.99,0,0.04737175
75,4.02,33.34%,0.008,2.679732,0.992,0,0.021437856
76,23.17,35.19%,0.0048,15.016477,0.9952,0,0.07207909
77,17.36,20.99%,0.0021,13.716136,0.9979,0,0.028803886
78,6.49,12.11%,0.0075,5.704061,0.9925,0,0.042780458
79,12.87,2.07%,0.0047,12.603591,0.9953,0,0.059236878
80,1.79,22.74%,0.0091,1.382954,0.9909,0,0.012584881
81,16.23,17.00%,0.0074,13.4709,0.9926,0,0.09968466
82,15.42,22.36%,0.0097,11.972088,0.9903,0,0.116129254
83,22.33,30.80%,0.0079,15.45236,0.9921,0,0.122073644
84,16.54,34.78%,0.0007,10.787388,0.9993,0,0.007551172
85,1.32,0.60%,0.0033,1.31208,0.9967,0,0.004329864
86,1.45,37.05%,0.0066,0.912775,0.9934,0,0.006024315
87,4.14,2.31%,0.0019,4.044366,0.9981,0,0.007684295
88,13.79,27.93%,0.0017,9.938453,0.9983,0,0.01689537
89,19.6,16.33%,0.0036,16.39932,0.9964,0,0.059037552
90,3.09,7.97%,0.0076,2.843727,0.9924,0,0.021612325
91,24.3,20.84%,0.0077,19.23588,0.9923,0,0.148116276
92,6.11,33.57%,0.0043,4.058873,0.9957,0,0.017453154
93,3.7,33.84%,0.0072,2.44792,0.9928,0,0.017625024
94,6.22,34.44%,0.0095,4.077832,0.9905,0,0.038739404
95,13.63,7.72%,0.0074,12.577764,0.9926,0,0.093075454
96,12.63,30.63%,0.0051,8.761431,0.9949,0,0.044683298
97,3.25,16.20%,0.0029,2.7235,0.9971,0,0.00789815
98,21.77,22.74%,0.0021,16.819502,0.9979,0,0.035320954
99,20.72,19.54%,0.0091,16.671312,0.9909,0,0.151708939
100,15.85,35.67%,0.0025,10.196305,0.9975,0,0.025490763
101,10.62,28.65%,0.0006,7.57737,0.9994,0,0.004546422
102,23.62,13.88%,0.0035,20.341544,0.9965,0,0.071195404
103,15.18,9.39%,0.0025,13.754598,0.9975,0,0.034386495
104,3.17,22.62%,0.0097,2.452946,0.9903,0,0.023793576
105,18.99,28.53%,0.0067,13.572153,0.9933,0,0.090933425
106,3.72,16.81%,0.0087,3.094668,0.9913,0,0.026923612
107,23.07,11.95%,0.0059,20.313135,0.9941,0,0.119847497
108,19.76,39.22%,0.005,12.010128,0.995,0,0.06005064
109,22.17,38.07%,0.0034,13.729881,0.9966,0,0.046681595
110,22.09,2.08%,0.0065,21.630528,0.9935,0,0.140598432
111,2.04,36.63%,0.0027,1.292748,0.9973,0,0.00349042
112,9.04,0.29%,0.0005,9.013784,0.9995,0,0.004506892
113,18.03,17.65%,0.0074,14.847705,0.9926,0,0.109873017
114,19.89,38.91%,0.0025,12.150801,0.9975,0,0.030377003
115,14.7,7.55%,0.003,13.59015,0.997,0,0.04077045
116,21.6,30.81%,0.0085,14.94504,0.9915,0,0.12703284
117,8.79,24.57%,0.003,6.630297,0.997,0,0.019890891
118,17.12,3.87%,0.0085,16.457456,0.9915,0,0.139888376
119,11.24,20.44%,0.01,8.942544,0.99,0,0.08942544
120,24.29,19.87%,0.0053,19.463577,0.9947,0,0.103156958
121,2.53,2.64%,0.0067,2.463208,0.9933,0,0.016503494
122,9.78,10.83%,0.0069,8.720826,0.9931,0,0.060173699
123,9.03,25.08%,0.0014,6.765276,0.9986,0,0.009471386
124,21.77,0.95%,0.0067,21.563185,0.9933,0,0.14447334
125,17.23,9.27%,0.0021,15.632779,0.9979,0,0.032828836
126,21.67,5.05%,0.0083,20.575665,0.9917,0,0.17077802
127,23.71,14.67%,0.0002,20.231743,0.9998,0,0.004046349
128,9.94,32.46%,0.0095,6.713476,0.9905,0,0.063778022
129,23.44,10.84%,0.0079,20.899104,0.9921,0,0.165102922
130,4.53,27.94%,0.0039,3.264318,0.9961,0,0.01273084
131,7.7,36.74%,0.0014,4.87102,0.9986,0,0.006819428
132,18.7,2.69%,0.005,18.19697,0.995,0,0.09098485
133,3.7,33.10%,0.0083,2.4753,0.9917,0,0.02054499
134,4.61,3.95%,0.0008,4.427905,0.9992,0,0.003542324
135,12.01,23.40%,0.0028,9.19966,0.9972,0,0.025759048
136,23.35,36.89%,0.0099,14.736185,0.9901,0,0.145888232
137,6.95,34.73%,0.0072,4.536265,0.9928,0,0.032661108
138,8.99,29.33%,0.0073,6.353233,0.9927,0,0.046378601
139,4.43,21.00%,0.0063,3.4997,0.9937,0,0.02204811
140,10.27,7.30%,0.0041,9.52029,0.9959,0,0.039033189
141,22.71,24.70%,0.0067,17.10063,0.9933,0,0.114574221
142,17.95,38.31%,0.0006,11.073355,0.9994,0,0.006644013
143,20.48,30.63%,0.0039,14.206976,0.9961,0,0.055407206
144,19.79,33.64%,0.0042,13.132644,0.9958,0,0.055157105
145,12.04,14.15%,0.003,10.33634,0.997,0,0.03100902
146,6.02,28.75%,0.0049,4.28925,0.9951,0,0.021017325
147,21.42,20.64%,0.0062,16.998912,0.9938,0,0.105393254
148,6.41,35.78%,0.008,4.116502,0.992,0,0.032932016
149,2.91,6.58%,0.0007,2.718522,0.9993,0,0.001902965
150,24.69,7.65%,0.0062,22.801215,0.9938,0,0.141367533
151,20.65,32.09%,0.0095,14.023415,0.9905,0,0.133222443
152,22.59,10.93%,0.0028,20.120913,0.9972,0,0.056338556
153,7.85,13.06%,0.0076,6.82479,0.9924,0,0.051868404
154,15.23,6.70%,0.0035,14.20959,0.9965,0,0.049733565
155,17.09,37.73%,0.0002,10.641943,0.9998,0,0.002128389
156,2.28,9.97%,0.0062,2.052684,0.9938,0,0.012726641
157,18.73,22.53%,0.0049,14.510131,0.9951,0,0.071099642
158,20.65,12.98%,0.0042,17.96963,0.9958,0,0.075472446
159,4.31,11.48%,0.0021,3.815212,0.9979,0,0.008011945
